"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-08-11","0.00","98","70"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-08-12","0.00","98","71"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-08-13","0.00","101","71"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-08-14","0.00","100","74"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-08-15","0.00","89","71"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-08-16","0.00","94","70"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-08-17","0.00","98","71"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-08-18","0.00","100","70"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-08-19","0.00","95","72"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-08-20","0.98","87","67"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-08-21","0.01","87","65"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-08-22","0.00","89","63"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-08-23","0.00","88","67"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-08-24","0.11","80","71"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-08-25","0.02","87","71"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-08-26","0.04","92","69"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-08-27","0.00","91","67"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-08-28","0.00","92","67"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-08-29","0.00","88","69"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-08-30","0.00","83","64"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-08-31","0.00","81","56"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-09-01","0.00","88","52"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-09-02","0.00","91","57"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-09-03","0.00","92","65"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-09-04","0.00","90","64"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-09-05","0.82","76","69"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-09-06","0.28","88","68"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-09-07","0.01","91","67"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-09-08","0.00","91","67"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-09-09","0.96","89","67"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-09-10","0.00","83","59"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-09-11","0.00","86","55"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-09-12","0.00","85","55"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-09-13","0.00","83","55"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-09-14","0.00","86","56"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-09-15","0.68","72","64"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-09-16","0.09","81","57"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-09-17","0.00","77","51"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-09-18","0.00","78","50"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-09-19","0.00","79","53"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-09-20","0.00","79","55"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-09-21","0.65","78","58"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-09-22","0.00","70","47"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-09-23","0.00","73","41"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-09-24","0.00","78","45"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-09-25","0.00","82","52"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-09-26","0.02","82","58"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-09-27","0.57","73","70"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-09-28","0.20","78","71"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-09-29","0.19","81","66"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-09-30","0.00","70","49"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-10-01","0.00","73","46"
"USW00053871","ROCK HILL YORK CO AIRPORT, SC US","1999-10-02","0.00","77","47"
