"STATION","NAME","DATE","AWND","DAEV","DASF","DAWM","EVAP","FMTM","MDEV","MDSF","MDWM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WDMV","WESD","WSF1","WSF2","WSF5","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-28",,,,,,,,,,,"0.00",,"0.0",,,"25","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-01",,,,,,,,,,,"0.00",,"0.0",,,"26","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-02",,,,,,,,,,,"0.02",,"0.0",,,"36","19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-03",,,,,,,,,,,"0.00",,"0.0",,,"43","28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-04",,,,,,,,,,,"0.10",,"0.0",,,"44","19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-05",,,,,,,,,,,"0.00",,"0.0",,,"35","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-06",,,,,,,,,,,"0.03",,"0.8",,,"36","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-07",,,,,,,,,,,"0.00",,"0.0",,,"26","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-08",,,,,,,,,,,"0.00",,"0.0",,,"38","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-09",,,,,,,,,,,"0.00",,"0.0",,,"46","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-10",,,,,,,,,,,"1.06",,"0.0",,,"47","38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-11",,,,,,,,,,,"0.00",,"0.0",,,"37","28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-12",,,,,,,,,,,"0.00",,"0.0",,,"38","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-13",,,,,,,,,,,"0.00",,"0.0",,,"52","33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-14",,,,,,,,,,,"0.02",,"0.0",,,"48","34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-15",,,,,,,,,,,"0.18",,"0.0",,,"34","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-16",,,,,,,,,,,"0.00",,"0.0",,,"39","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-17",,,,,,,,,,,"0.00",,"0.0",,,"42","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-18",,,,,,,,,,,"0.00",,"0.0",,,"36","24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-19",,,,,,,,,,,"0.00",,"0.0",,,"42","34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-20",,,,,,,,,,,"0.28",,"0.0",,,"48","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-21",,,,,,,,,,,"0.00",,"0.0",,,"32","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-22",,,,,,,,,,,"0.00",,"0.0",,,"35","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-23",,,,,,,,,,,"0.95",,"0.0",,,"40","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-24",,,,,,,,,,,"0.00",,"0.0",,,"50","35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-25",,,,,,,,,,,"0.00",,"0.0",,,"46","33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-26",,,,,,,,,,,"0.00",,"0.0",,,"47","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-27",,,,,,,,,,,"0.78",,"0.0",,,"60","48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-28",,,,,,,,,,,"0.00",,"0.0",,,"55","41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-29",,,,,,,,,,,"0.00",,"0.0",,,"40","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-30",,,,,,,,,,,"1.15",,"0.0",,,"53","40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-31",,,,,,,,,,,"0.04",,"0.0",,,"46","38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-01",,,,,,,,,,,"0.01",,"0.0",,,"48","36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-02",,,,,,,,,,,"0.43",,"0.0",,,"43","38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
