"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-07-27","0.00","81","54"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-07-28","0.00","83","61"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-07-29","0.00","83","60"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-07-30","0.80","73","57"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-07-31","0.00","79","54"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-08-01","0.15","83","55"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-08-02","0.00","80","50"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-08-03","0.41","74","54"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-08-04","0.63","69","56"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-08-05","0.03","74","53"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-08-06","0.00","80","52"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-08-07","0.00","84","50"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-08-08","0.00","90","55"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-08-09","0.00","83","59"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-08-10","0.00","79","54"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-08-11","0.46","81","55"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-08-12","0.00","80","52"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-08-13","0.00","81","52"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-08-14","0.00","84","53"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-08-15","0.04","85","54"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-08-16","0.09","85","54"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-08-17","0.00","88","54"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-08-18","0.47","88","60"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-08-19","0.13","81","57"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-08-20","0.00","80","56"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-08-21","0.02","85","57"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-08-22","0.00","85","54"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-08-23","0.00","89","56"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-08-24","0.03","88","58"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-08-25","0.02","80","53"
