"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-11-13","0.04","56","43"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-11-14","0.00","60","44"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-11-15","0.01","70","38"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-11-16","0.00","69","45"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-11-17","0.01","70","37"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-11-18","0.00","73","50"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-11-19","0.00","58","41"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-11-20","0.00","57","30"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-11-21","0.00",,
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-11-22","0.00","71","48"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-11-23","0.00","72","42"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-11-24","0.00","69","35"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-11-25","0.00","68","40"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-11-26","0.00","71","34"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-11-27","0.00","75","50"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-11-28","0.00","71","61"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-11-29","1.17","73","57"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-11-30","0.00","67","44"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-12-01","0.01","72","40"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-12-02","0.00","70","54"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-12-03","1.34","73","60"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-12-04","0.00","69","54"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-12-05","0.00","74","53"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-12-06","0.63","68","40"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-12-07","0.00","42","38"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-12-08","0.00","51","28"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-12-09","0.00","54","30"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-12-10","0.00","51","34"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-12-11","0.00","48","34"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-12-12","0.00","53","30"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-12-13","0.00","56","29"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-12-14","0.01","60","29"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-12-15","0.00","63","34"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-12-16","0.00","54","31"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-12-17","0.01","59","28"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-12-18","0.19","52","46"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-12-19","0.00","48","32"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-12-20","0.03","35","30"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-12-21","0.00","30","12"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-12-22","0.00","20","8"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-12-23","0.00","24","19"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-12-24","0.00","32","14"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-12-25","0.00","39","13"
